epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.654,1.30623,8.30011,0.58959,1.21641,1.19717,0.90305,0.93047,0.94217,0.64025,0.17408,0.18473,0.05036,0.00616,1.07853,5.60711,0.28325,0.75063,1.01235,0.000553808,0.000553808,0.000553808
2,248.668,1.17212,5.07922,0.40536,0.87831,1.12682,0.88351,0.92979,0.93643,0.62946,0.70556,0.74369,0.6353,0.16995,1.1019,3.40373,0.16818,0.73403,1.03789,0.00108751,0.00108751,0.00108751
3,368.654,1.12432,4.35032,0.38063,0.80612,1.10889,0.90724,0.92093,0.93898,0.67184,0.80487,0.81118,0.77021,0.2668,1.03294,3.01081,0.17004,0.68537,1.01296,0.0015992,0.0015992,0.0015992
4,488.733,1.08083,3.71782,0.36387,0.75729,1.08481,0.90033,0.92706,0.95651,0.65933,0.82111,0.83856,0.81684,0.29799,1.1063,2.89308,0.15597,0.67839,1.02318,0.00156798,0.00156798,0.00156798
5,609.033,1.07294,3.52106,0.34461,0.73009,1.08479,0.89281,0.93112,0.93557,0.64653,0.84602,0.84731,0.82395,0.34729,1.07234,2.64695,0.1495,0.67663,1.02217,0.00153497,0.00153497,0.00153497
6,728.21,1.04301,3.31695,0.32731,0.7096,1.07204,0.86456,0.9094,0.92914,0.63617,0.81595,0.85827,0.84748,0.3712,1.10857,2.55239,0.1413,0.76447,1.0215,0.00150197,0.00150197,0.00150197
7,851.214,1.00815,3.09985,0.29673,0.67038,1.0677,0.90971,0.91547,0.96012,0.69629,0.88353,0.8773,0.89604,0.39834,1.02209,2.486,0.12386,0.64831,1.00728,0.00146896,0.00146896,0.00146896
8,976.128,0.99313,2.90799,0.28022,0.65885,1.05269,0.88732,0.92326,0.9421,0.67526,0.85541,0.88616,0.88393,0.44678,0.99907,2.30457,0.10588,0.67101,1.00117,0.00143595,0.00143595,0.00143595
9,1098.82,0.95906,2.75628,0.25616,0.62491,1.02891,0.89602,0.93729,0.95138,0.66918,0.87579,0.8844,0.88751,0.42952,1.09622,2.36733,0.10409,0.66924,1.03481,0.00140295,0.00140295,0.00140295
10,1218.06,0.94322,2.70883,0.24456,0.62342,1.03612,0.87684,0.93176,0.93357,0.66506,0.84377,0.87988,0.86053,0.43084,1.03886,2.31068,0.09707,0.69486,1.02031,0.00136994,0.00136994,0.00136994
11,1337.71,0.9257,2.60557,0.22864,0.60479,1.02487,0.93384,0.90048,0.96087,0.69526,0.90932,0.87492,0.9166,0.49713,1.01311,2.20393,0.09195,0.64366,0.99701,0.00133693,0.00133693,0.00133693
12,1456.45,0.9079,2.51624,0.21629,0.5848,1.01511,0.91453,0.88344,0.95158,0.67009,0.88314,0.84663,0.89341,0.48874,1.0418,2.14905,0.08364,0.71013,1.02132,0.00130393,0.00130393,0.00130393
13,1578.46,0.90008,2.4818,0.21148,0.57894,1.01148,0.90156,0.92399,0.96255,0.70983,0.90588,0.85685,0.91511,0.53407,0.99366,2.09519,0.0803,0.62062,0.98585,0.00127092,0.00127092,0.00127092
14,1701.1,0.882,2.44035,0.20644,0.56871,1.00853,0.87006,0.91744,0.94466,0.6903,0.87489,0.85617,0.89694,0.50847,1.01147,2.11398,0.08255,0.69673,0.99175,0.00123791,0.00123791,0.00123791
15,1819.68,0.86933,2.33402,0.19819,0.55298,0.99955,0.91128,0.91727,0.96558,0.7232,0.88395,0.88753,0.92821,0.53811,0.97167,2.06575,0.08097,0.61476,0.98621,0.00120491,0.00120491,0.00120491
16,1938.31,0.84511,2.25212,0.19082,0.54046,0.98802,0.9134,0.87185,0.94686,0.69647,0.89205,0.84492,0.90555,0.53723,1.02533,2.11194,0.07648,0.66649,1.01458,0.0011719,0.0011719,0.0011719
17,2059.8,0.84147,2.24558,0.19218,0.54485,0.99343,0.89674,0.92346,0.95502,0.71344,0.90537,0.86744,0.91619,0.56322,0.98061,2.03717,0.07709,0.64607,0.99799,0.00113889,0.00113889,0.00113889
18,2177.2,0.82135,2.14606,0.18322,0.52631,0.97789,0.93358,0.87117,0.96146,0.7165,0.91305,0.84526,0.92426,0.56974,0.99339,1.98921,0.07236,0.65133,1.01002,0.00110589,0.00110589,0.00110589
19,2293.14,0.82759,2.18445,0.18172,0.53558,0.98827,0.90595,0.90389,0.95951,0.72115,0.89246,0.88003,0.9269,0.5424,0.97912,2.06973,0.07081,0.63419,0.98817,0.00107288,0.00107288,0.00107288
20,2407.14,0.80476,2.10235,0.18099,0.51958,0.98124,0.86649,0.91138,0.94146,0.70713,0.87366,0.84375,0.90308,0.53059,0.97261,1.99724,0.07041,0.71379,0.99757,0.00103987,0.00103987,0.00103987
