epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0145,0.52982,1.36802,0.12053,0.33811,0.84836,1,0.99376,0.995,0.90119,1,0.99376,0.995,0.69905,0.51948,1.32362,0.01063,0.31553,0.82334,0.000543319,0.000543319,0.000543319
2,37.0874,0.59483,1.44894,0.1117,0.38513,0.85764,1,0.99322,0.995,0.87413,1,0.99322,0.995,0.64817,0.58233,1.47597,0.01285,0.33768,0.84487,0.00107723,0.00107723,0.00107723
3,54.5301,0.64895,1.65984,0.12032,0.42504,0.87309,0.9727,0.9898,0.99439,0.86443,0.99931,0.96111,0.98912,0.63818,0.61047,1.61254,0.01318,0.35774,0.84674,0.00158913,0.00158913,0.00158913
4,71.6838,0.62405,1.52819,0.10759,0.40547,0.86113,0.99882,0.97778,0.99478,0.84984,0.99314,0.97222,0.99351,0.58415,0.61288,1.72256,0.01565,0.35646,0.83985,0.00156798,0.00156798,0.00156798
5,89.5404,0.61056,1.5418,0.10991,0.40269,0.86638,0.9944,0.9859,0.99447,0.86366,0.97206,0.96637,0.98853,0.62582,0.60896,1.6689,0.01702,0.37989,0.84269,0.00153497,0.00153497,0.00153497
6,106.892,0.5823,1.45443,0.10984,0.3889,0.86377,0.99339,0.97778,0.99003,0.85292,0.9775,0.96546,0.98635,0.59925,0.62833,1.73054,0.01195,0.36313,0.85095,0.00150197,0.00150197,0.00150197
7,124.193,0.59694,1.37882,0.09876,0.3914,0.86261,0.98685,0.96111,0.98614,0.83506,0.99412,0.95,0.97888,0.6199,0.71694,1.67199,0.01428,0.38366,0.87244,0.00146896,0.00146896,0.00146896
8,141.54,0.59564,1.50517,0.1151,0.40335,0.86408,0.98289,0.95763,0.9839,0.83725,0.98634,0.95556,0.97234,0.57461,0.71183,1.89922,0.01023,0.40805,0.88615,0.00143595,0.00143595,0.00143595
9,158.741,0.5992,1.45689,0.10702,0.39227,0.86343,0.99236,0.96111,0.98199,0.83247,0.99753,0.94444,0.9758,0.56912,0.71343,1.90516,0.01564,0.41343,0.87887,0.00140295,0.00140295,0.00140295
10,175.695,0.56678,1.30271,0.09956,0.37945,0.85231,0.99848,0.94444,0.98224,0.84598,0.97679,0.93507,0.97376,0.60359,0.67949,1.83277,0.0112,0.4068,0.88218,0.00136994,0.00136994,0.00136994
11,192.924,0.5579,1.33051,0.11334,0.38081,0.846,0.98876,0.97767,0.99103,0.85455,0.97753,0.9666,0.98193,0.61978,0.7011,1.73865,0.01154,0.38088,0.87264,0.00133693,0.00133693,0.00133693
